prompt_idx	score_range	scores	prompt
21	0.718750	4.156250,3.437500,3.687500,4.031250	A mysterious Gothic castle with numerous spires and towers, viewed from a top-down perspective. The castle exudes a blend of gothic architecture and advanced technology, creating a futuristic and cinematic atmosphere. The scene lacks intricate details, focusing instead on broad shapes and forms. Light gradients and subtle visual effects enhance the ethereal and otherworldly feel. The camera rotates counterclockwise, slowly revealing the expansive and imposing structure below.
22	1.296875	2.187500,3.484375,2.812500,2.921875	A warm sunset scene at the beach, featuring a happy golden retriever dog playing fetch with a smiling child. The child, who is around five years old, is wearing a colorful swimsuit and flip-flops, running along the sandy shore. The dog is energetic, wagging its tail and bounding through the shallow water to retrieve a brightly colored ball. Both the child and the dog are facing the camera, with the sun casting a soft, golden glow over them. The background shows the orange and pink hues of the setting sun reflecting off the waves and sand. Wide-angle shot capturing the expansive beach and the joyful interaction between the child and the dog.
23	0.562500	3.281250,2.718750,3.171875,3.218750	A serene, picturesque scene of an elderly woman living in a quaint, weathered wooden cottage surrounded by lush greenery and tall trees. Every evening, she steps outside onto the creaky wooden porch, where she sits in a rocking chair, gazing up at the starlit night sky. The moon casts a soft glow over the tranquil landscape, illuminating the distant hills and the twinkling stars above. The scene is captured in a warm, nostalgic style, with a medium shot focusing on the woman's peaceful expression as she enjoys the beauty of the night. Static shot, capturing the calmness and serenity of the moment.
24	0.406250	3.828125,3.703125,3.625000,4.031250	Evolution-themed artwork, showcasing a side-view transformation from a lion into a human. The lion starts with a majestic mane and wild, untamed expression, gradually morphing into a bipedal human figure. The lion’s muscular build and powerful stance slowly evolve into a slender, upright posture. Facial features transform from sharp feline characteristics to soft, human-like features. The background transitions from a rugged savannah landscape to a more civilized, urban setting. This transformation should be depicted in a continuous flow, capturing the essence of evolutionary change. Close-up perspective, emphasizing the gradual shift in anatomy and facial structure.
25	1.031250	3.953125,3.843750,2.921875,3.265625	A close-up view of citrus fruits moving in a circular motion, showcasing their vibrant colors and textures. The camera remains static as the fruits spin gracefully, highlighting their round shapes and glossy surfaces. The background is a minimalistic setup with a soft, diffused light source illuminating the fruits from above, creating subtle shadows and emphasizing their natural curvature. The motion is smooth and continuous, focusing solely on the dynamic movement of the citrus fruits.
26	0.093750	3.093750,3.140625,3.093750,3.046875	A panoramic view of the Eiffel Tower at sunset, with the sky painted in shades of warm orange and soft pink hues. The tower stands majestically under the glowing sky, its intricate iron structure illuminated by the fading sunlight. The Parisian skyline in the distance adds depth to the scene, with the Seine river reflecting the vibrant colors. The camera slowly pans from the base of the tower up to the top, capturing the detailed ironwork and the bustling city life below. The scene is serene yet filled with the energy of the evening. Wide shot, capturing the entirety of the Eiffel Tower and the surrounding skyline.
27	0.625000	3.281250,3.265625,2.656250,3.093750	In a dramatic reveal, a group of diverse alien beings, each with unique features such as bioluminescent skin, antennae, and large expressive eyes, emerge from a hidden underground facility. They stand together in a semi-circle, displaying a mix of anticipation and determination. The aliens wear simple, sleek garments that blend technology and organic materials. They are surrounded by a crowd of humans who appear both curious and apprehensive. The background showcases a bustling cityscape at sunset, with towering skyscrapers and flying vehicles. The scene transitions from a close-up of the aliens' faces to a wider shot capturing the interaction between the two groups. The atmosphere is tense yet hopeful, emphasizing the momentous occasion of inter-species communication. Wide shot with a slow zoom out to encompass the entire scene.
28	0.687500	3.593750,3.703125,3.421875,3.015625	A man in a casual outfit is working at his desk in a cozy home office, intensely typing on a portable laptop computer. A curious cat is sitting beside him, attentively watching the man's every move. The room is softly lit with warm ambient lighting, featuring bookshelves and other personal items that give the space a lived-in feel. The man has a focused expression, while the cat has large, alert eyes and a relaxed posture. Medium shot capturing both the man and the cat in the same frame.
29	0.109375	2.640625,2.640625,2.718750,2.609375	A dynamic TV promo-style video showcasing a group of politicians at a nighttime event illuminated by vibrant neon lights. The politicians, dressed in formal attire, engage in conversations, shake hands, and exchange smiles as they navigate through a bustling room filled with guests. The scene is set in a modern, urban environment with a mix of soft ambient lighting and bright neon signs. The camera alternates between close-ups of expressive faces and wider shots capturing the energetic atmosphere. The visuals include fast-paced cuts and subtle zoom-ins to highlight key interactions and facial expressions, emphasizing the excitement and importance of the political networking event.
30	0.546875	3.687500,3.375000,3.921875,3.671875	ASMR video featuring a close-up shot of a young woman's hands. The girl has long, neatly manicured nails and soft, smooth skin. She moves her hands gracefully in front of the camera, focusing on gentle hand movements such as tapping, sliding, and fluttering. The lighting is warm and soft, casting a gentle glow on her hands. The camera remains static but maintains a close-up focus on her hands throughout the sequence. The background is blurred to keep the viewer's attention on the hands. The movements are slow and deliberate, creating a soothing and relaxing atmosphere.
31	0.921875	2.453125,2.890625,2.921875,3.375000	A dramatic aerial combat scene where a sleek, modern fighter jet is seen crashing directly into a large, futuristic spaceship in the sky. The fighter jet is engulfed in flames as it plummets towards the spaceship, which is illuminated by emergency lights and smoke. Both vehicles show signs of previous battle damage, with scorch marks and missing parts. The sky is dark with storm clouds, adding to the intensity of the scene. The camera focuses closely on the point of impact, capturing the explosion and debris flying in all directions. Close-up view focusing on the collision.
32	0.140625	3.468750,3.328125,3.421875,3.390625	A serene beach scene at Lake Baikal, showcasing several people enjoying the tranquil waters. The individuals, ranging from young children to adults, are engaging in various activities such as swimming, sunbathing, and playing on the sandy shore. They wear casual summer attire, including swimsuits, shorts, and t-shirts. The clear water reflects the bright blue sky, and the surrounding Siberian taiga forests add a lush green backdrop to the picturesque landscape. The camera captures the scene from a mid-shot angle, maintaining a static view to emphasize the peaceful atmosphere and natural beauty of the lake.
33	0.328125	3.671875,3.437500,3.343750,3.593750	Surveillance camera recording style, a man in a full-body chemical protection suit holding a gun. The man has a serious expression, standing cautiously in a dimly lit room. The chemical suit is bright yellow with reflective strips, and he wears a gas mask, adding to the tense atmosphere. His posture is alert, with one hand firmly gripping the gun and the other adjusting the mask. The background shows shadowy corners and industrial machinery, creating an ominous environment. Static camera angle, capturing the scene from a medium shot.
34	0.609375	3.531250,3.125000,3.734375,3.703125	Abstract logo illustration for a photography brand with a regal aesthetic, created in a 2D style. The design should be simple and minimalist, focusing on clean lines and minimal detail. Incorporate elements that convey royalty, such as crowns, thrones, or regal patterns, but maintain a modern and sleek look. The logo should be versatile enough to work in both color and black and white. Focus on symmetry and balance within the composition. Close-up view highlighting the intricate yet straightforward details of the logo.
35	0.125000	3.296875,3.375000,3.328125,3.421875	Close-up shot of former President Donald Trump engrossed in playing a video game. He is sitting in a plush leather office chair, wearing a casual navy blue blazer and a red tie. His face is animated, with intense focus and occasional expressions of frustration or excitement. The background shows a dimly lit room with a large window behind him, revealing a night skyline. His hands are moving quickly over a gaming controller, with the screen displaying vibrant graphics from the video game. Medium close-up shot, static camera.
36	0.625000	4.000000,3.687500,3.375000,3.984375	A microcosmic world encapsulated within a single nut, showcasing diverse miniature ecosystems. Tiny mushrooms sprout from the soil, minuscule insects crawl around, and a small pond with tiny fish swimming inside. The shell of the nut has intricate patterns, and the inside is filled with lush greenery and tiny rocks. A microscopic bird perches on a twig, peering curiously at the viewer. The environment is vibrant and bustling with life, all contained within the confines of a single nut. Macro shot, close-up view emphasizing the detailed textures and motion of the tiny inhabitants.
37	0.500000	3.140625,3.640625,3.375000,3.421875	A vibrant, joyful Madonna standing in a serene garden, surrounded by blooming flowers and lush greenery. She is dressed in a flowing, pastel-colored robe adorned with intricate embroidery. Her face radiates happiness, with a warm smile and bright, expressive eyes. She holds a rosary in one hand and gestures gently with the other, as if blessing those around her. The background includes a clear blue sky and soft sunlight filtering through the leaves. The scene is captured in a close-up shot, emphasizing her peaceful demeanor and the beauty of the garden.
38	0.687500	3.125000,2.937500,3.625000,3.468750	Time-lapse video showing a fast-growing miniature city emerging from a white empty space against a blue background. The scene begins with an expansive white void. Gradually, small buildings appear and rapidly multiply, transforming the empty space into a bustling urban landscape. Skyscrapers, residential homes, and infrastructure develop at an accelerated pace. The camera remains stationary, capturing the detailed evolution of the cityscape. The background remains a consistent shade of blue, contrasting with the developing city below. Close-up and medium shots highlight the intricate construction process and architectural details.
39	0.187500	3.421875,3.437500,3.281250,3.468750	Realistic illustration of a courtroom flooded by lemonade. The floor is covered with spilled lemonade, creating puddles and streams that reflect the ceiling lights. Courtroom furniture, including benches and tables, is partially submerged, with papers and legal documents floating or soaked. Judges, lawyers, and court staff are shown reacting in various ways; some are shocked, others are cleaning up, and a few are trying to salvage important documents. The background showcases detailed architecture typical of a formal courtroom, with American-style columns and a raised judge's bench. Medium shot, capturing the chaotic yet vivid scene from a bird's-eye perspective.
40	0.578125	2.312500,2.593750,2.890625,2.437500	A jazz performance scene featuring Miles Davis, the iconic trumpet player, playing his trumpet. Miles is wearing a classic black suit with a white shirt and black tie, standing confidently on a dimly lit stage. He holds a banana in one hand while expertly playing his trumpet with the other. The background showcases a vintage jazz club atmosphere with dim lighting, smoky air, and a small audience. The camera focuses closely on Miles' face and hands, capturing his intense focus and the unique juxtaposition of the banana. Close-up shot, static camera.
41	0.375000	4.125000,3.890625,3.750000,4.062500	A close-up view of three frothy beers lined up neatly on a wooden bar counter. Each beer has a foamy head and emits a golden glow under the warm bar lights. The bottles are arranged in a triangular formation, creating an inviting and cozy atmosphere. The background shows the shadowy outline of a bartender and the reflection of neon signs on the polished surface of the counter. The scene captures the essence of a lively bar setting, with subtle ambient lighting and the rich texture of the wooden countertop.
42	0.468750	2.718750,2.250000,2.312500,2.718750	A mystical forest filled with ancient trees and glowing luminescent flora surrounds a lost and bewildered lady. She has wavy chestnut hair that falls just past her shoulders, fair skin, and expressive green eyes. Wearing a flowing emerald green dress with intricate leaf patterns, she clutches a small wooden staff adorned with ivy. Her posture is hunched slightly as she looks around, searching for her way out. The ground is covered in a thick layer of moss and fallen leaves, with ethereal lights flickering among the underbrush. The scene is a medium close-up, capturing her confusion and the enchanting yet eerie atmosphere of the woods.
43	0.796875	4.218750,3.421875,3.828125,3.437500	A close-up shot of a 10 kg bag of rice, prominently displayed on a grocery store shelf. The bag is brown with white lettering that reads "10 kg Rice" in clear, bold font. The rice grains inside are visible through a small window at the bottom corner of the bag, showing their natural golden color and texture. The background includes other similar bags of rice and various household items, creating a bustling supermarket scene. The camera remains static, focusing solely on the bag of rice, highlighting its size and detail.
44	0.843750	2.296875,2.937500,2.640625,3.140625	Traditional 2D frame-by-frame animation in a style reminiscent of a 1970s Sesame Street episode, featuring a friendly spider building a web on a white background. The spider has large, expressive eyes and a cheerful demeanor, moving gracefully as it spins its intricate web. Each strand of silk is meticulously drawn, capturing the spider's careful weaving process. The animation includes subtle background elements like gentle falling dust particles to enhance the realism. The spider pauses occasionally to admire its work, displaying a sense of satisfaction. Medium close-up shots focus on the spider’s detailed movements and the formation of the web.
45	0.359375	2.640625,2.406250,2.453125,2.281250	A celebratory scene featuring Imran Khan, the newly elected leader, addressing a large crowd at an outdoor event. Imran Khan, dressed in traditional Pakistani attire, stands on a stage adorned with Pakistani flags and banners. The crowd is cheering and waving flags in support. Khan has a broad smile on his face and raises his hands in victory. The background shows a sea of people, with diverse ethnic groups represented, all celebrating the win. The scene is vibrant, with colorful lights and balloons adding to the festive atmosphere. Medium shot focusing on Imran Khan and the immediate crowd around him.
46	0.578125	3.234375,2.937500,2.656250,2.984375	A serene landscape where a river of flowing chocolate meanders through the scene. Alongside the river, a tree made entirely of colorful candy canes and lollipops stands tall, its branches adorned with various sweets. In the sky above, fluffy pink clouds float effortlessly against a bright blue backdrop. The entire scene is vibrant and whimsical, capturing a magical confectionery wonderland. Wide shot, static scene.
47	0.546875	2.078125,2.000000,2.406250,2.546875	A serene, vibrant forest environment where various cats and trees are shown in motion. The cats, ranging from small kittens to larger felines, are leaping, climbing, and playing among the trees. The trees sway gently with the breeze, their leaves rustling softly. The cats exhibit natural behaviors such as grooming, chasing each other, and resting under the shade. The background showcases a lush green canopy with dappled sunlight filtering through. The scene is captured with smooth, flowing camera movement to emphasize the continuous motion of the elements. Mid-shot, showcasing the interaction between the cats and the trees.
48	0.578125	3.140625,2.562500,2.968750,3.031250	An illustrated person walking through a lush forest in nature. The person is wearing a casual outfit suitable for hiking, consisting of a green jacket and comfortable jeans. They have a backpack slung over their shoulder and are carrying a walking stick. The individual has a serene expression, looking content as they walk along a winding dirt path surrounded by tall trees and vibrant foliage. The sun filters through the leaves, casting dappled shadows on the ground. The scene should capture a sense of tranquility and connection with nature. Medium shot focusing on the person walking towards the viewer.
49	0.406250	3.531250,3.296875,3.218750,3.125000	A realistic aerial view of an Air France aircraft flying parallel to the Burj Khalifa in Dubai. The plane is shown from a side angle, emphasizing its sleek design and the UAE flag painted on its tail. The Burj Khalifa stands majestically in the background, towering over the cityscape below. The sun is setting, casting a warm golden glow over the scene. The aircraft is in mid-flight, with wings extended, and the Burj Khalifa is illuminated by soft evening lights. Wide shot, static scene capturing both the plane and the iconic skyscraper.
50	0.375000	3.296875,3.671875,3.484375,3.390625	A film set with a movie camera operator standing behind a large film camera. The operator is wearing a casual film crew outfit consisting of a black t-shirt and jeans. He has a focused and determined expression on his face as he adjusts the camera settings. The film set has various props and backdrop elements, including a vintage car and a few actors waiting for their cues. The lighting is set up with several bright lights illuminating the area. The camera operator is in a standing position, maintaining a professional stance. Medium shot focusing on the camera operator and part of the film set.
51	0.593750	3.468750,4.062500,3.750000,3.750000	A majestic Eastern dragon flying swiftly through the clouds. The dragon has vibrant scales in shades of gold, green, and blue, with intricate detailing along its body. It has large, sweeping wings that catch the wind as it glides gracefully yet powerfully through the sky. The clouds swirl and part around the dragon, creating a dramatic backdrop. The dragon's eyes are fierce and focused, exuding strength and agility. The scene is captured from a dynamic aerial perspective, emphasizing the speed and majesty of the dragon's flight. Wide shot.
52	0.296875	4.062500,3.921875,4.218750,3.953125	Realistic 4K underwater scene featuring various abyssal creatures in their natural habitat. The video showcases a variety of deep-sea organisms such as bioluminescent jellyfish, anglerfish, and giant squid moving gracefully through the darkness. The camera maintains a static position, allowing viewers to observe the creatures' intricate details and behaviors. The water is murky with ambient light filtering through, creating an eerie yet captivating atmosphere. The video captures the slow, fluid motions of these mysterious beings, emphasizing their unique adaptations to the deep ocean environment.
53	0.375000	3.750000,3.500000,3.843750,3.875000	A close-up scene of a teenage girl named Lily talking animatedly on the phone, her face lit up with excitement and engagement. She has long wavy blonde hair, fair skin, and is wearing a casual outfit consisting of a denim jacket and a floral skirt. Opposite her, we see a medium shot of a man named Guy, who appears serious but attentive. He has short brown hair, wears glasses, and is dressed in a button-down shirt and jeans. Both are in separate rooms, with blurred backgrounds indicating different locations. The scene alternates between Lily and Guy, capturing their expressions and body language as they converse. The camera remains static, focusing solely on their interactions.
54	0.421875	3.078125,3.093750,2.718750,3.140625	A dynamically fast-opening flower, captured in high detail, showcasing the intricate process of blooming. The petals unfurl gracefully, revealing vibrant colors and delicate textures. The camera zooms in on the center of the flower, focusing on the pollen and stamen as they become visible. Soft, natural lighting enhances the beauty of the unfolding petals. The background is blurred, ensuring the focus remains on the flower's mesmerizing transformation. Close-up macro shot, emphasizing the detailed textures and vivid colors of the flower as it blooms.
55	1.148438	2.921875,2.546875,1.773438,2.203125	A heartwarming 3D animation scene featuring a happy family gathering. In the foreground, a cheerful elderly couple, Grandpa and Grandma, are sitting together on a couch, surrounded by their grandchildren who are playing and talking excitedly. Grandpa has a kind smile and wears round glasses, while Grandma has a warm, affectionate expression with her hair in a neat bun. The children, ranging from toddlers to teenagers, are engaged in various playful activities, laughing and chatting. The living room is cozy, decorated with family photos and soft lighting. The scene captures the joy and warmth of family interaction. Medium shot focusing on the family group.
56	0.281250	3.265625,3.546875,3.281250,3.468750	A humorous meme featuring a diploma with the text "B.S. in Engineering" embossed on it. The diploma is shown crumpled and torn, lying on a messy desk filled with scattered textbooks, coffee cups, and empty soda cans. The background includes a chaotic collage of engineering formulas and diagrams, with a frustrated-looking student in the foreground, their face expressing exhaustion and despair. The student is depicted as a young adult with disheveled hair and a weary expression, leaning against the desk with one hand supporting their head. The overall tone is satirical and relatable, capturing the struggles of an engineering student. Medium close-up shot, static scene.
57	0.968750	2.453125,3.171875,2.453125,2.203125	A vibrant summer day in a lush green field filled with ripe, round watermelons. In the foreground, a bright red tractor with a spacious trailer is loaded with freshly picked watermelons. The tractor's wheels are dusty from the journey, and the trailer is brimming with neatly stacked watermelons. The sun casts a warm glow over the scene, highlighting the rich green foliage and the glossy red surface of the tractor. The background showcases a sprawling countryside with rolling hills and distant farms. The camera focuses on the dynamic action of the tractor moving slowly across the field, emphasizing the abundance of watermelons. Wide shot, capturing the expansive field and the tractor in motion.
58	0.078125	3.187500,3.265625,3.187500,3.218750	A serene, bright white light flows like threads across a serene landscape. The light gently cascades over rolling hills and meandering rivers, creating a dreamlike atmosphere. The landscape is dotted with lush greenery and scattered wildflowers, bathed in soft, diffused sunlight. The sky is a clear, pale blue, with wisps of clouds drifting lazily by. The scene is captured in a sweeping wide shot, emphasizing the expansive beauty and tranquility of nature.
59	0.828125	4.500000,3.937500,3.671875,4.000000	A stunning, surreal natural sculpture crafted from an otherworldly material, showcasing a mesmerizing blend of floral hues and diverse textures. The sculpture features a mix of moist, wet, molded, and smooth surfaces, creating a dreamlike and intricate appearance. Details include iridescent reflections and a trypophobic texture that alternates between inviting and unsettling. Shot at 50mm focal length, the sculpture is captured in vivid realism with Unreal Engine and Octane Render, embodying a dreamcore aesthetic. Static shot, medium close-up.
60	0.343750	4.250000,4.593750,4.312500,4.343750	An AirAsia airplane flying gracefully through the sky from a sideways perspective, surrounded by fluffy white clouds. The aircraft is casting a heart-shaped shadow on the ground below, creating a romantic and whimsical effect. The airplane is depicted in mid-flight, with sunlight filtering through the clouds, illuminating its sleek exterior. The scene captures the vastness of the sky and the intricate play of light and shadow. Medium shot, static scene.
61	0.140625	3.093750,3.187500,3.125000,3.234375	A large, gray elephant with flared ears and a downturned trunk, expressing frustration or sadness, stands in a lush savanna. Suddenly, a sly red fox approaches from the side, tilting its head curiously. Both animals are in mid-motion, the elephant seemingly agitated while the fox appears intrigued. The background showcases tall grasses swaying gently in the breeze and distant trees. The scene transitions smoothly from a close-up of the elephant to a medium shot including both animals. Mid-shot, dynamic camera angle.
62	0.781250	2.968750,3.437500,3.140625,3.750000	A hacker, wearing dark sunglasses and a hoodie, sits in front of multiple computer screens with flashing codes and notifications. They type rapidly on a keyboard, fingers moving quickly over the keys. The room is dimly lit with neon lights casting eerie shadows. The hacker's face shows intense concentration and determination. The background features a cluttered workspace with various gadgets and wires. The scene is set in a modern, tech-savvy environment with a cyberpunk aesthetic. Medium close-up focusing on the hacker's hands typing and the screen displaying lines of code.
63	0.765625	4.312500,3.953125,3.546875,3.937500	A vintage thrift store display featuring a hand-painted ghost sign. The ghost is depicted in faded, pastel colors with a slightly eerie yet charming expression. The ghost sign is weathered, with cracks and peeling paint, giving it an old, worn appearance. The background is cluttered with various thrift store items such as old books, vinyl records, and antique furniture. The scene is captured in a medium shot, showcasing the ghost sign prominently among the vintage goods. The lighting is soft and warm, casting gentle shadows on the objects around it.
64	0.648438	2.093750,1.593750,2.000000,1.445312	A dynamic view of a bustling modern city road during the morning rush hour. Numerous vehicles, including cars, buses, and motorcycles, are moving smoothly along the road, creating a vibrant flow of traffic. Tall skyscrapers with large glass facades loom over the street, casting shadows on the pavement. Bright sunlight illuminates the scene, reflecting off the wet asphalt after a light rain, giving the city a fresh and lively appearance. The camera captures a wide shot of the road from a slight aerial perspective, showcasing the extensive network of streets and the constant movement of vehicles.
